"Időbélyeg","Nemed","Életkorod (években)","Mekkora településen élsz?","Hány cm magas vagy?","Jobb- vagy balkezes vagy? ","Van-e háziállatod?","Mennyire várod már a statisztika órát? ","Mit gondolsz, a csoporttársaid mennyire várják már a statisztika órát?","Mikor van statisztika órád?","Hány percbe telik, mire otthonról/az albérletből/kollégiumból eljutsz az egyetemre?","Mennyire jellemző rád az alábbi állítás: Szívesen kelek reggel korán és este pihenek","Mennyire jellemző rád az alábbi állítás: Szívesen alszom reggel sokáig és este aktív vagyok"
"2022/09/11 10:50:07 de. EET","nő","20","város","160","jobb","igen","5","2","szerda 14:00","25 ","4","2"
"2022/09/11 10:50:52 de. EET","nő","20","város","160","jobb","igen","5","2","szerda 14:00","25 ","4","2"
"2022/09/11 12:11:52 du. EET","nő","18","község/falu","159","jobb","igen","4","3","szerda 8:00","20","4","2"
"2022/09/11 12:58:19 du. EET","nő","21","megyeszékhely","168","jobb","igen","4","4","hétfő 18:00","7","2","5"
"2022/09/11 1:07:51 du. EET","férfi","18","főváros","186","jobb","igen","3","3","hétfő 18:00","16","2","3"
"2022/09/11 5:52:34 du. EET","nő","19","község/falu","172","jobb","igen","5","3","szerda 16:00","20","3","3"
"2022/09/11 5:58:46 du. EET","férfi","19","város","185","jobb","nem","5","3","szerda 14:00","15","1","5"
"2022/09/11 9:15:40 du. EET","nő","18","város","163","bal","igen","4","2","szerda 8:00","30 ","4","2"
"2022/09/11 11:59:43 du. EET","nő","18","város","168","jobb","igen","3","1","szerda 16:00","15","1","5"
"2022/09/12 6:33:21 de. EET","nő","19","község/falu","175","jobb","igen","4","4","hétfő 18:00","10","5","1"
"2022/09/12 9:40:42 de. EET","nő","19","város","174","jobb","igen","3","5","szerda 8:00","10","4","3"
"2022/09/12 9:53:03 de. EET","férfi","19","község/falu","180","jobb","igen","5","3","","10","1","5"
"2022/09/12 10:00:16 de. EET","nő","20","megyeszékhely","156","jobb","","5","5","szerda 16:00","7","3","4"
"2022/09/12 10:01:17 de. EET","nő","20","város","161","jobb","nem","4","3","szerda 16:00","15","1","5"
"2022/09/12 12:15:34 du. EET","nő","19","megyeszékhely","167","jobb","igen","3","2","szerda 14:00","20","1","5"
"2022/09/12 1:36:58 du. EET","nő","18","megyeszékhely","167","jobb","nem","4","2","szerda 8:00","25","3","4"
"2022/09/12 4:39:22 du. EET","nő","18","megyeszékhely","168","jobb","nem","3","2","szerda 14:00","30","2","3"
"2022/09/12 7:48:23 du. EET","nő","19","község/falu","149","jobb","igen","4","1","szerda 8:00","15","4","2"
"2022/09/12 8:15:02 du. EET","férfi","19","város","185","jobb","igen","5","5","szerda 14:00","15 ","4","2"
"2022/09/12 8:15:13 du. EET","nő","18","város","165","jobb","igen","2","2","szerda 14:00","20","1","5"
"2022/09/12 8:15:14 du. EET","nő","20","város","160","jobb","nem","4","2","szerda 8:00","55","3","5"
"2022/09/12 8:16:22 du. EET","nő","19","város","163","jobb","igen","4","2","szerda 16:00","25","3","3"
"2022/09/12 8:50:59 du. EET","nő","19","város","172","jobb","igen","5","3","hétfő 18:00","15 ","4","2"
"2022/09/12 8:58:14 du. EET","nő","18","város","180 ","jobb","igen","3","2","szerda 14:00","5","1","5"
"2022/09/12 8:58:44 du. EET","nő","20","megyeszékhely","178","bal","nem","2","3","szerda 18:00","10","2","4"
"2022/09/12 10:06:15 du. EET","nő","19","főváros","180","bal","nem","4","4","szerda 8:00","10","2","4"
"2022/09/12 10:09:48 du. EET","nő","18","város","170","jobb","igen","2","3","szerda 16:00","20","1","5"
"2022/09/12 10:11:55 du. EET","nő","19","város","178","jobb","igen","3","1","szerda 16:00","15","2","4"
"2022/09/12 10:47:31 du. EET","nő","20","község/falu","174","jobb","nem","5","4","szerda 14:00","5","4","4"
"2022/09/13 7:07:45 de. EET","nő","20","főváros","164","jobb","igen","4","3","szerda 16:00","6","3","5"
"2022/09/13 12:01:10 du. EET","nő","18","főváros","172","bal","nem","3","3","csütörtök 18:00","20","4","4"
"2022/09/13 3:06:06 du. EET","férfi","18","város","173","jobb","igen","3","3","hétfő 18:00","31 ","3","4"
"2022/09/14 2:23:41 du. EET","nő","19","megyeszékhely","168","bal","igen","5","2","hétfő 18:00","15","5","1"
"2022/09/14 6:50:25 du. EET","nő","18","főváros","172","jobb","igen","4","2","szerda 18:00","15","1","5"
"2022/09/14 8:01:11 du. EET","nő","18","község/falu","185","jobb","nem","3","3","csütörtök 18:00","20","1","5"
"2023/09/07 6:16:13 du. EEST","nő","19","község/falu","162","bal","igen","4","3","szerda 8:00","20","1","4"
"2023/09/07 6:58:51 du. EEST","nő","18","megyeszékhely","166","bal","nem","4","2","szerda 8:00","10","2","5"
"2023/09/07 8:34:38 du. EEST","férfi","21","község/falu","175","jobb","nem","3","3","szerda 14:00","35","3","4"
"2023/09/07 8:34:46 du. EEST","nő","18","megyeszékhely","159","jobb","igen","3","2","szerda 8:00","30","2","4"
"2023/09/07 8:35:02 du. EEST","nő","19","főváros","164","jobb","igen","4","3","szerda 16:00","30","2","5"
"2023/09/07 8:35:56 du. EEST","nő","20","város","172 ","bal","igen","2","4","szerda 14:00","40 ","3","2"
"2023/09/07 8:36:19 du. EEST","nő","19","község/falu","165","jobb","igen","5","3","szerda 14:00","4","3","1"
"2023/09/07 8:36:55 du. EEST","nő","18","város","164","jobb","igen","5","2","szerda 8:00","5 ","2","4"
"2023/09/07 8:37:05 du. EEST","nő","19","város","168","jobb","igen","5","4","szerda 16:00","30","4","2"
"2023/09/07 8:38:12 du. EEST","nő","18","város","161","jobb","nem","4","3","szerda 16:00","15","4","4"
"2023/09/07 8:44:26 du. EEST","nő","19","város","165","jobb","igen","4","4","szerda 8:00","10","2","5"
"2023/09/07 8:44:37 du. EEST","férfi","18","város","187","jobb","nem","3","3","szerda 8:00","60","1","3"
"2023/09/07 8:50:36 du. EEST","nő","19","főváros","168","jobb","igen","4","4","szerda 8:00","5","5","2"
"2023/09/07 8:53:08 du. EEST","nő","18","város","170","jobb","igen","4","2","szerda 8:00","10 ","2","4"
"2023/09/07 8:58:35 du. EEST","nő","20","község/falu","175","bal","igen","4","3","szerda 8:00","25","5","1"
"2023/09/07 9:26:38 du. EEST","nő","19","megyeszékhely","161","jobb","igen","5","3","szerda 8:00","30","5","2"
"2023/09/07 9:35:38 du. EEST","nő","19","megyeszékhely","162","jobb","igen","4","2","szerda 16:00","25","2","2"
"2023/09/07 9:49:19 du. EEST","férfi","19","község/falu","186","jobb","igen","4","4","szerda 8:00","15 ","4","2"
